name,url,year_drafted,pick,year_1_av,year_2_av,year_3_av,year_4_av,year_5_av
Jameis Winston,https://www.pro-football-reference.com/players/W/WinsJa00.htm,2015,1,13,12,10,9,15
Marcus Mariota,https://www.pro-football-reference.com/players/M/MariMa01.htm,2015,2,9,13,12,9,5
Dante Fowler,https://www.pro-football-reference.com/players/F/FowlDa00.htm,2015,3,NaN,2,3,2.666666667,7
Amari Cooper,https://www.pro-football-reference.com/players/C/CoopAm00.htm,2015,4,9,10,6,5.333333333,9
Brandon Scherff,https://www.pro-football-reference.com/players/S/ScheBr00.htm,2015,5,8,12,9,3,5
Leonard Williams,https://www.pro-football-reference.com/players/W/WillLe02.htm,2015,6,9,10,7,8,4
Kevin White,https://www.pro-football-reference.com/players/W/WhitKe00.htm,2015,7,NaN,1,0,1,NaN
Vic Beasley,https://www.pro-football-reference.com/players/B/BeasVi00.htm,2015,8,7,12,4,4,7
Ereck Flowers,https://www.pro-football-reference.com/players/F/FlowEr00.htm,2015,9,8,6,5,2,6
Todd Gurley,https://www.pro-football-reference.com/players/G/GurlTo01.htm,2015,10,8,4,19,16,6
Trae Waynes,https://www.pro-football-reference.com/players/W/WaynTr00.htm,2015,11,1,4,5,5,4
Danny Shelton,https://www.pro-football-reference.com/players/S/ShelDa01.htm,2015,12,6,6,5,2,12
Andrus Peat,https://www.pro-football-reference.com/players/P/PeatAn00.htm,2015,13,5,9,8,11,7
DeVante Parker,https://www.pro-football-reference.com/players/P/ParkDe01.htm,2015,14,3,6,5,2,9
Melvin Gordon,https://www.pro-football-reference.com/players/G/GordMe00.htm,2015,15,5,10,10,11,6
Kevin Johnson,https://www.pro-football-reference.com/players/J/JohnKe04.htm,2015,16,5,1,2,0,2
Arik Armstead,https://www.pro-football-reference.com/players/A/ArmsAr01.htm,2015,17,2,2,2,7,9
Marcus Peters,https://www.pro-football-reference.com/players/P/PeteMa00.htm,2015,18,12,16,7,5,9.333333333
Cameron Erving,https://www.pro-football-reference.com/players/E/ErviCa00.htm,2015,19,2,5,3,8,5
Nelson Agholor,https://www.pro-football-reference.com/players/A/AghoNe00.htm,2015,20,2,3,7,6,3
Cedric Ogbuehi,https://www.pro-football-reference.com/players/O/OgbuCe00.htm,2015,21,0,6,5,0,1
Bud Dupree,https://www.pro-football-reference.com/players/D/DuprAl00.htm,2015,22,3,2,7,8,8
Shane Ray,https://www.pro-football-reference.com/players/R/RayxSh00.htm,2015,23,2,6,3,1,NaN
D.J. Humphries,https://www.pro-football-reference.com/players/H/HumpD.00.htm,2015,24,NaN,6,2,3,8
Shaq Thompson,https://www.pro-football-reference.com/players/T/ThomSh01.htm,2015,25,5,6,6,5,6
Breshad Perriman,https://www.pro-football-reference.com/players/P/PerrBr02.htm,2015,26,NaN,3,1,2,5
Byron Jones,https://www.pro-football-reference.com/players/J/JoneBy00.htm,2015,27,4,6,6,11,5
Laken Tomlinson,https://www.pro-football-reference.com/players/T/TomlLa01.htm,2015,28,7,6,7,7,9
Phillip Dorsett,https://www.pro-football-reference.com/players/D/DorsPh00.htm,2015,29,2,5,2,3,3
Damarious Randall,https://www.pro-football-reference.com/players/R/RandDa00.htm,2015,30,4,3,5,6,4
Stephone Anthony,https://www.pro-football-reference.com/players/A/AnthSt00.htm,2015,31,6,2,1,1,1
Malcom Brown,https://www.pro-football-reference.com/players/B/BrowMa01.htm,2015,32,7,8,7,7,7
Landon Collins,https://www.pro-football-reference.com/players/C/CollLa00.htm,2015,33,5,14,8,6,5
Donovan Smith,https://www.pro-football-reference.com/players/S/SmitDo02.htm,2015,34,7,7,8,8,8
Mario Edwards,https://www.pro-football-reference.com/players/E/EdwaMa01.htm,2015,35,5,0,6,1,1
T.J. Yeldon,https://www.pro-football-reference.com/players/Y/YeldT.00.htm,2015,36,7,5,3,5,1
Devin Smith,https://www.pro-football-reference.com/players/S/SmitDe04.htm,2015,37,1,0,NaN,NaN,1
Preston Smith,https://www.pro-football-reference.com/players/S/SmitPr00.htm,2015,38,3,7,8,8,9
Eddie Goldman,https://www.pro-football-reference.com/players/G/GoldEd00.htm,2015,39,5,2,8,9,7
Dorial Green-Beckham,https://www.pro-football-reference.com/players/G/GreeDo00.htm,2015,40,4,3,NaN,NaN,NaN
Devin Funchess,https://www.pro-football-reference.com/players/F/FuncDe00.htm,2015,41,5,3,8,5,0
Jalen Collins,https://www.pro-football-reference.com/players/C/CollJa02.htm,2015,42,2,2,NaN,NaN,NaN
Benardrick McKinney,https://www.pro-football-reference.com/players/M/McKiBe00.htm,2015,43,6,14,7,12,6
Hau'oli Kikaha,https://www.pro-football-reference.com/players/K/KikaHa00.htm,2015,44,4,NaN,1,NaN,NaN
Eric Kendricks,https://www.pro-football-reference.com/players/K/KendEr00.htm,2015,45,6,8,9,8,15
Jaquiski Tartt,https://www.pro-football-reference.com/players/T/TartJa00.htm,2015,46,3,3,3,3,4
Eric Rowe,https://www.pro-football-reference.com/players/R/RoweEr00.htm,2015,47,2,3,1,1,6
Denzel Perryman,https://www.pro-football-reference.com/players/P/PerrDe00.htm,2015,48,5,5,3,4,5
Mitch Morse,https://www.pro-football-reference.com/players/M/MorsMi00.htm,2015,49,8,6,4,7,7
Ronald Darby,https://www.pro-football-reference.com/players/D/DarbRo00.htm,2015,50,6,4,4,3,5
Nate Orchard,https://www.pro-football-reference.com/players/O/OrchNa00.htm,2015,51,5,0,2,0,1
Jordan Phillips,https://www.pro-football-reference.com/players/P/PhilJo01.htm,2015,52,2,5,4,1.333333333,8
Jake Fisher,https://www.pro-football-reference.com/players/F/FishJa00.htm,2015,53,2,3,3,1,NaN
Ameer Abdullah,https://www.pro-football-reference.com/players/A/AbduAm00.htm,2015,54,5,1,5,0,2
Maxx Williams,https://www.pro-football-reference.com/players/W/WillMa04.htm,2015,55,2,0,1,1,2
Senquez Golson,https://www.pro-football-reference.com/players/G/GolsSe00.htm,2015,56,NaN,NaN,NaN,NaN,NaN
Rob Havenstein,https://www.pro-football-reference.com/players/H/HaveRo00.htm,2015,57,4,5,8,11,5
Markus Golden,https://www.pro-football-reference.com/players/G/GoldMa00.htm,2015,58,3,4,2,5,8
Ty Sambrailo,https://www.pro-football-reference.com/players/S/SambTy00.htm,2015,59,2,2,2,4,1
Randy Gregory,https://www.pro-football-reference.com/players/G/GregRa00.htm,2015,60,1,1,NaN,3,NaN
Ali Marpet,https://www.pro-football-reference.com/players/M/MarpAl00.htm,2015,61,6,7,5,8,8
Quinten Rollins,https://www.pro-football-reference.com/players/R/RollQu00.htm,2015,62,3,3,1,NaN,NaN
Frank Clark,https://www.pro-football-reference.com/players/C/ClarFr01.htm,2015,63,2,5,6,10,9
Jordan Richards,https://www.pro-football-reference.com/players/R/RichJo00.htm,2015,64,1,1,3,4,0.666666667
D'Joun Smith,https://www.pro-football-reference.com/players/S/SmitDJ00.htm,2015,65,0,0,NaN,NaN,NaN
Jeremiah Poutasi,https://www.pro-football-reference.com/players/P/PoutJe00.htm,2015,66,3,0,NaN,NaN,NaN
A.J. Cann,https://www.pro-football-reference.com/players/C/CannA.00.htm,2015,67,7,7,8,5,7
Clive Walford,https://www.pro-football-reference.com/players/W/WalfCl00.htm,2015,68,3,3,1,0,0
Tyler Lockett,https://www.pro-football-reference.com/players/L/LockTy00.htm,2015,69,9,6,6,10,9
Jaelen Strong,https://www.pro-football-reference.com/players/S/StroJa01.htm,2015,70,1,1,0,NaN,NaN
Hroniss Grasu,https://www.pro-football-reference.com/players/G/GrasHr00.htm,2015,71,4,NaN,1,1,0
Jamon Brown,https://www.pro-football-reference.com/players/B/BrowJa04.htm,2015,72,3,2,8,3.333333333,5
Tevin Coleman,https://www.pro-football-reference.com/players/C/ColeTe01.htm,2015,73,3,9,7,8,6
Owamagbe Odighizuwa,https://www.pro-football-reference.com/players/O/OdigOw00.htm,2015,74,0,1,NaN,NaN,NaN
Garrett Grayson,https://www.pro-football-reference.com/players/G/GrayGa00.htm,2015,75,NaN,NaN,NaN,NaN,NaN
Chris Conley,https://www.pro-football-reference.com/players/C/ConlCh00.htm,2015,76,2,5,2,4,6
Duke Johnson,https://www.pro-football-reference.com/players/J/JohnDu00.htm,2015,77,5,5,6,4,7
P.J. Williams,https://www.pro-football-reference.com/players/W/WillP.00.htm,2015,78,NaN,1,3,7,3
Eli Harold,https://www.pro-football-reference.com/players/H/HaroEl00.htm,2015,79,2,5,4,1,NaN
Alex Carter,https://www.pro-football-reference.com/players/C/CartAl01.htm,2015,80,NaN,0,NaN,0,NaN
John Miller,https://www.pro-football-reference.com/players/M/MillJo04.htm,2015,81,5,9,2,5,5
Lorenzo Mauldin,https://www.pro-football-reference.com/players/M/MaulLo00.htm,2015,82,2,2,NaN,NaN,NaN
Craig Mager,https://www.pro-football-reference.com/players/M/MageCr00.htm,2015,83,1,3,0,0,NaN
Jordan Hicks,https://www.pro-football-reference.com/players/H/HickJo00.htm,2015,84,4,9,4,6,7
Tyler Kroft,https://www.pro-football-reference.com/players/K/KrofTy00.htm,2015,85,1,1,4,0,1
David Johnson,https://www.pro-football-reference.com/players/J/JohnDa08.htm,2015,86,9,15,1,6,5
Sammie Coates,https://www.pro-football-reference.com/players/C/CoatSa00.htm,2015,87,0,4,0,0,NaN
Danielle Hunter,https://www.pro-football-reference.com/players/H/HuntDa01.htm,2015,88,3,4,9,17,12
Sean Mannion,https://www.pro-football-reference.com/players/M/MannSe00.htm,2015,89,0,0,1,0,0
Carl Davis,https://www.pro-football-reference.com/players/D/DaviCa01.htm,2015,90,2,NaN,5,0,0
Chaz Green,https://www.pro-football-reference.com/players/G/GreeCh02.htm,2015,91,NaN,1,3,1,NaN
Jeff Heuerman,https://www.pro-football-reference.com/players/H/HeueJe00.htm,2015,92,NaN,1,1,2,1
Henry Anderson,https://www.pro-football-reference.com/players/A/AndeHe00.htm,2015,93,4,2,3,3,6
Ty Montgomery,https://www.pro-football-reference.com/players/M/MontTy01.htm,2015,94,1,7,4,2,1
Matt Jones,https://www.pro-football-reference.com/players/J/JoneMa04.htm,2015,95,5,4,0,NaN,NaN
Xavier Cooper,https://www.pro-football-reference.com/players/C/CoopXa00.htm,2015,96,1,2,0.666666667,NaN,NaN
Geneo Grissom,https://www.pro-football-reference.com/players/G/GrisGe00.htm,2015,97,1,1,1,0,NaN
Steven Nelson,https://www.pro-football-reference.com/players/N/NelsSt01.htm,2015,98,1,5,3,5,6
Paul Dawson,https://www.pro-football-reference.com/players/D/DawsPa00.htm,2015,99,1,0,0,NaN,NaN
Angelo Blackson,https://www.pro-football-reference.com/players/B/BlacAn00.htm,2015,100,1,1,1,4,6
Trey Flowers,https://www.pro-football-reference.com/players/F/FlowTr00.htm,2015,101,0,7,9,9,7
Daryl Williams,https://www.pro-football-reference.com/players/W/WillDa06.htm,2015,102,2,4,12,1,5
Bryce Petty,https://www.pro-football-reference.com/players/P/PettBr01.htm,2015,103,NaN,2,2,NaN,NaN
James Sample,https://www.pro-football-reference.com/players/S/SampJa00.htm,2015,104,1,NaN,NaN,NaN,NaN
Jamison Crowder,https://www.pro-football-reference.com/players/C/CrowJa00.htm,2015,105,5,8,6,3,5
Jeremy Langford,https://www.pro-football-reference.com/players/L/LangJe00.htm,2015,106,5,2,NaN,0,NaN
Justin Hardy,https://www.pro-football-reference.com/players/H/HardJu00.htm,2015,107,2,2,2,1,2
Jalston Fowler,https://www.pro-football-reference.com/players/F/FowlJa00.htm,2015,108,0,0,0,NaN,NaN
Clayton Geathers,https://www.pro-football-reference.com/players/G/GeatCl00.htm,2015,109,2,3,1,4,4
T.J. Clemmings,https://www.pro-football-reference.com/players/C/ClemT.00.htm,2015,110,7,6,2,0,NaN
Tre' Jackson,https://www.pro-football-reference.com/players/J/JackTr00.htm,2015,111,6,NaN,NaN,NaN,NaN
Arie Kouandjio,https://www.pro-football-reference.com/players/K/KouaAr00.htm,2015,112,0,1,3,NaN,NaN
Gabe Wright,https://www.pro-football-reference.com/players/W/WrigGa00.htm,2015,113,1,0,0,0,NaN
Jamil Douglas,https://www.pro-football-reference.com/players/D/DougJa00.htm,2015,114,3,0,NaN,NaN,3
Ibraheim Campbell,https://www.pro-football-reference.com/players/C/CampIb00.htm,2015,115,1,3,0.666666667,0,1
Rodney Gunter,https://www.pro-football-reference.com/players/G/GuntRo00.htm,2015,116,5,2,2,5,5
Blake Bell,https://www.pro-football-reference.com/players/B/BellBl00.htm,2015,117,1,1,0,0,1
Ramik Wilson,https://www.pro-football-reference.com/players/W/WilsRa00.htm,2015,118,2,7,3,3,0
Andrew Donnal,https://www.pro-football-reference.com/players/D/DonnAn00.htm,2015,119,1,2,1,0,0
Josh Shaw,https://www.pro-football-reference.com/players/S/ShawJo00.htm,2015,120,1,5,1,0,NaN
Doran Grant,https://www.pro-football-reference.com/players/G/GranDo00.htm,2015,121,0,NaN,NaN,NaN,NaN
Za'Darius Smith,https://www.pro-football-reference.com/players/S/SmitZa00.htm,2015,122,2,3,3,6,12
Vince Mayle,https://www.pro-football-reference.com/players/M/MaylVi00.htm,2015,123,0,0,0,NaN,NaN
Kwon Alexander,https://www.pro-football-reference.com/players/A/AlexKw00.htm,2015,124,5,9,8,3,4
Javorius Allen,https://www.pro-football-reference.com/players/A/AlleJa01.htm,2015,125,5,0,7,2,0
Mike Davis,https://www.pro-football-reference.com/players/D/DaviMi01.htm,2015,126,1,0,3,5,0
Damien Wilson,https://www.pro-football-reference.com/players/W/WilsDa02.htm,2015,127,1,4,4,4,7
Jon Feliciano,https://www.pro-football-reference.com/players/F/FeliJo00.htm,2015,128,2,1,1,2,7
Jake Ryan,https://www.pro-football-reference.com/players/R/RyanJa00.htm,2015,129,4,5,6,NaN,0
Terry Poole,https://www.pro-football-reference.com/players/P/PoolTe00.htm,2015,130,NaN,NaN,NaN,NaN,NaN
Shaq Mason,https://www.pro-football-reference.com/players/M/MasoSh01.htm,2015,131,6,8,10,7,7
DeAndre Smelter,https://www.pro-football-reference.com/players/S/SmelDe00.htm,2015,132,NaN,0,NaN,NaN,NaN
Max Garcia,https://www.pro-football-reference.com/players/G/GarcMa00.htm,2015,133,3,6,6,2,1
Mark Glowinski,https://www.pro-football-reference.com/players/G/GlowMa00.htm,2015,134,1,8,1,5,8
Marcus Hardison,https://www.pro-football-reference.com/players/H/HardMa00.htm,2015,135,NaN,NaN,NaN,NaN,NaN
Tray Walker,https://www.pro-football-reference.com/players/W/WalkTr00.htm,2015,136,0,NaN,NaN,NaN,NaN
Grady Jarrett,https://www.pro-football-reference.com/players/J/JarrGr00.htm,2015,137,2,6,7,5,13
David Cobb,https://www.pro-football-reference.com/players/C/CobbDa00.htm,2015,138,1,NaN,NaN,NaN,NaN
Rashad Greene,https://www.pro-football-reference.com/players/G/GreeRa00.htm,2015,139,2,0,NaN,0,NaN
Ben Heeney,https://www.pro-football-reference.com/players/H/HeenBe00.htm,2015,140,2,1,0,NaN,NaN
Martrell Spaight,https://www.pro-football-reference.com/players/S/SpaiMa00.htm,2015,141,0,2,4,0,NaN
Adrian Amos,https://www.pro-football-reference.com/players/A/AmosAd00.htm,2015,142,6,5,5,6,6
MyCole Pruitt,https://www.pro-football-reference.com/players/P/PruiMy00.htm,2015,143,1,0,0,1,1
Mykkele Thompson,https://www.pro-football-reference.com/players/T/ThomMy00.htm,2015,144,NaN,0,NaN,NaN,NaN
Bobby McCain,https://www.pro-football-reference.com/players/M/McCaBo01.htm,2015,145,2,3,3,4,3
Stefon Diggs,https://www.pro-football-reference.com/players/D/DiggSt00.htm,2015,146,8,7,9,8,13
Brett Hundley,https://www.pro-football-reference.com/players/H/HundBr00.htm,2015,147,NaN,0,5,NaN,0
Davis Tull,https://www.pro-football-reference.com/players/T/TullDa00.htm,2015,148,NaN,NaN,NaN,NaN,NaN
Jay Ajayi,https://www.pro-football-reference.com/players/A/AjayJa00.htm,2015,149,2,10,4.666666667,1,0
Cedric Thompson,https://www.pro-football-reference.com/players/T/ThomCe00.htm,2015,150,NaN,NaN,NaN,NaN,NaN
David Parry,https://www.pro-football-reference.com/players/P/ParrDa00.htm,2015,151,6,7,0,0,NaN
Jarvis Harrison,https://www.pro-football-reference.com/players/H/HarrJa02.htm,2015,152,NaN,NaN,NaN,NaN,NaN
Kyle Emanuel,https://www.pro-football-reference.com/players/E/EmanKy00.htm,2015,153,2,5,6,4,NaN
Tyeler Davison,https://www.pro-football-reference.com/players/D/DaviTy01.htm,2015,154,2,5,7,4,6
Karlos Williams,https://www.pro-football-reference.com/players/W/WillKa01.htm,2015,155,4,NaN,NaN,NaN,NaN
Tony Lippett,https://www.pro-football-reference.com/players/L/LippTo00.htm,2015,156,1,5,NaN,0,NaN
C.J. Uzomah,https://www.pro-football-reference.com/players/U/UzomC.00.htm,2015,157,0,2,1,4,2
Shaquille Riddick,https://www.pro-football-reference.com/players/R/RiddSh00.htm,2015,158,NaN,NaN,NaN,NaN,NaN
JJ Nelson,https://www.pro-football-reference.com/players/N/NelsJJ00.htm,2015,159,3,5,4,0,0
Jesse James,https://www.pro-football-reference.com/players/J/JameJe00.htm,2015,160,0,3,4,3,1
Neiron Ball,https://www.pro-football-reference.com/players/B/BallNe00.htm,2015,161,1,NaN,NaN,NaN,NaN
Kenny Bell,https://www.pro-football-reference.com/players/B/BellKe02.htm,2015,162,NaN,NaN,NaN,NaN,NaN
Ryan Russell,https://www.pro-football-reference.com/players/R/RussRy00.htm,2015,163,0,1,3,NaN,NaN
Lorenzo Doss,https://www.pro-football-reference.com/players/D/DossLo00.htm,2015,164,0,0,0,0,NaN
Bradley Pinion,https://www.pro-football-reference.com/players/P/PiniBr00.htm,2015,165,1,2,1,2,2
Joe Cardona,https://www.pro-football-reference.com/players/C/CardJo00.htm,2015,166,1,1,1,1,1
Damian Swann,https://www.pro-football-reference.com/players/S/SwanDa02.htm,2015,167,1,NaN,NaN,NaN,NaN
Michael Burton,https://www.pro-football-reference.com/players/B/BurtMi00.htm,2015,168,0,0,0,0,0
David Mayo,https://www.pro-football-reference.com/players/M/MayoDa00.htm,2015,169,1,1,1,2,6
Tye Smith,https://www.pro-football-reference.com/players/S/SmitTy01.htm,2015,170,0,NaN,1,NaN,1
Nick Boyle,https://www.pro-football-reference.com/players/B/BoylNi00.htm,2015,171,1,0,2,2,4
D.J. Alexander,https://www.pro-football-reference.com/players/A/AlexD.00.htm,2015,172,1,4,1,1,0
James O'Shaughnessy,https://www.pro-football-reference.com/players/O/O'ShJa00.htm,2015,173,1,0,1,1,1
